x,u_m,u_mm,M,,
0,0,0,83.33333333,q,10
0.001,-4.17E-11,-4.17E-08,83.28333833,L,10
0.002,-1.67E-10,-1.67E-07,83.23335333,EI,1.00E+06
0.003,-3.75E-10,-3.75E-07,83.18337833,,
0.004,-6.66E-10,-6.66E-07,83.13341333,,
0.005,-1.04E-09,-1.04E-06,83.08345833,,
0.006,-1.50E-09,-1.50E-06,83.03351333,,
0.007,-2.04E-09,-2.04E-06,82.98357833,,
0.008,-2.66E-09,-2.66E-06,82.93365333,,
0.009,-3.37E-09,-3.37E-06,82.88373833,,
0.01,-4.16E-09,-4.16E-06,82.83383333,,
0.011,-5.03E-09,-5.03E-06,82.78393833,,
0.012,-5.99E-09,-5.99E-06,82.73405333,,
0.013,-7.02E-09,-7.02E-06,82.68417833,,
0.014,-8.14E-09,-8.14E-06,82.63431333,,
0.015,-9.35E-09,-9.35E-06,82.58445833,,
0.016,-1.06E-08,-1.06E-05,82.53461333,,
0.017,-1.20E-08,-1.20E-05,82.48477833,,
0.018,-1.35E-08,-1.35E-05,82.43495333,,
0.019,-1.50E-08,-1.50E-05,82.38513833,,
0.02,-1.66E-08,-1.66E-05,82.33533333,,
0.021,-1.83E-08,-1.83E-05,82.28553833,,
0.022,-2.01E-08,-2.01E-05,82.23575333,,
0.023,-2.19E-08,-2.19E-05,82.18597833,,
0.024,-2.39E-08,-2.39E-05,82.13621333,,
0.025,-2.59E-08,-2.59E-05,82.08645833,,
0.026,-2.80E-08,-2.80E-05,82.03671333,,
0.027,-3.02E-08,-3.02E-05,81.98697833,,
0.028,-3.25E-08,-3.25E-05,81.93725333,,
0.029,-3.48E-08,-3.48E-05,81.88753833,,
0.03,-3.73E-08,-3.73E-05,81.83783333,,
0.031,-3.98E-08,-3.98E-05,81.78813833,,
0.032,-4.24E-08,-4.24E-05,81.73845333,,
0.033,-4.51E-08,-4.51E-05,81.68877833,,
0.034,-4.78E-08,-4.78E-05,81.63911333,,
0.035,-5.07E-08,-5.07E-05,81.58945833,,
0.036,-5.36E-08,-5.36E-05,81.53981333,,
0.037,-5.66E-08,-5.66E-05,81.49017833,,
0.038,-5.97E-08,-5.97E-05,81.44055333,,
0.039,-6.29E-08,-6.29E-05,81.39093833,,
0.04,-6.61E-08,-6.61E-05,81.34133333,,
0.041,-6.95E-08,-6.95E-05,81.29173833,,
0.042,-7.29E-08,-7.29E-05,81.24215333,,
0.043,-7.64E-08,-7.64E-05,81.19257833,,
0.044,-8.00E-08,-8.00E-05,81.14301333,,
0.045,-8.36E-08,-8.36E-05,81.09345833,,
0.046,-8.74E-08,-8.74E-05,81.04391333,,
0.047,-9.12E-08,-9.12E-05,80.99437833,,
0.048,-9.51E-08,-9.51E-05,80.94485333,,
0.049,-9.91E-08,-9.91E-05,80.89533833,,
0.05,-1.03E-07,-0.000103128,80.84583333,,
0.051,-1.07E-07,-0.000107272,80.79633833,,
0.052,-1.11E-07,-0.000111498,80.74685333,,
0.053,-1.16E-07,-0.000115804,80.69737833,,
0.054,-1.20E-07,-0.000120191,80.64791333,,
0.055,-1.25E-07,-0.000124659,80.59845833,,
0.056,-1.29E-07,-0.000129207,80.54901333,,
0.057,-1.34E-07,-0.000133836,80.49957833,,
0.058,-1.39E-07,-0.000138545,80.45015333,,
0.059,-1.43E-07,-0.000143335,80.40073833,,
0.06,-1.48E-07,-0.000148205,80.35133333,,
0.061,-1.53E-07,-0.000153156,80.30193833,,
0.062,-1.58E-07,-0.000158187,80.25255333,,
0.063,-1.63E-07,-0.000163298,80.20317833,,
0.064,-1.68E-07,-0.000168489,80.15381333,,
0.065,-1.74E-07,-0.000173761,80.10445833,,
0.066,-1.79E-07,-0.000179112,80.05511333,,
0.067,-1.85E-07,-0.000184544,80.00577833,,
0.068,-1.90E-07,-0.000190055,79.95645333,,
0.069,-1.96E-07,-0.000195647,79.90713833,,
0.07,-2.01E-07,-0.000201318,79.85783333,,
0.071,-2.07E-07,-0.00020707,79.80853833,,
0.072,-2.13E-07,-0.000212901,79.75925333,,
0.073,-2.19E-07,-0.000218812,79.70997833,,
0.074,-2.25E-07,-0.000224802,79.66071333,,
0.075,-2.31E-07,-0.000230873,79.61145833,,
0.076,-2.37E-07,-0.000237022,79.56221333,,
0.077,-2.43E-07,-0.000243252,79.51297833,,
0.078,-2.50E-07,-0.000249561,79.46375333,,
0.079,-2.56E-07,-0.000255949,79.41453833,,
0.08,-2.62E-07,-0.000262417,79.36533333,,
0.081,-2.69E-07,-0.000268964,79.31613833,,
0.082,-2.76E-07,-0.000275591,79.26695333,,
0.083,-2.82E-07,-0.000282297,79.21777833,,
0.084,-2.89E-07,-0.000289082,79.16861333,,
0.085,-2.96E-07,-0.000295946,79.11945833,,
0.086,-3.03E-07,-0.000302889,79.07031333,,
0.087,-3.10E-07,-0.000309911,79.02117833,,
0.088,-3.17E-07,-0.000317013,78.97205333,,
0.089,-3.24E-07,-0.000324193,78.92293833,,
0.09,-3.31E-07,-0.000331452,78.87383333,,
0.091,-3.39E-07,-0.00033879,78.82473833,,
0.092,-3.46E-07,-0.000346207,78.77565333,,
0.093,-3.54E-07,-0.000353703,78.72657833,,
0.094,-3.61E-07,-0.000361278,78.67751333,,
