x,u_m,u_mm,M,,,,,
-5,0,0,83.33333333,,,,q,10
-4.999,-4.17E-11,-4.17E-08,83.28333833,,,,L,10
-4.998,-1.67E-10,-1.67E-07,83.23335333,,,,EI,1.00E+06
-4.997,-3.75E-10,-3.75E-07,83.18337833,,,,,
-4.996,-6.66E-10,-6.66E-07,83.13341333,,,,,
-4.995,-1.04E-09,-1.04E-06,83.08345833,,,,,
-4.994,-1.50E-09,-1.50E-06,83.03351333,,,,,
-4.993,-2.04E-09,-2.04E-06,82.98357833,,,,,
-4.992,-2.66E-09,-2.66E-06,82.93365333,,,,,
-4.991,-3.37E-09,-3.37E-06,82.88373833,,,,,
-4.99,-4.16E-09,-4.16E-06,82.83383333,,,,,
-4.989,-5.03E-09,-5.03E-06,82.78393833,,,,,
-4.988,-5.99E-09,-5.99E-06,82.73405333,,,,,
-4.987,-7.02E-09,-7.02E-06,82.68417833,,,,,
-4.986,-8.14E-09,-8.14E-06,82.63431333,,,,,
-4.985,-9.35E-09,-9.35E-06,82.58445833,,,,,
-4.984,-1.06E-08,-1.06E-05,82.53461333,,,,,
-4.983,-1.20E-08,-1.20E-05,82.48477833,,,,,
-4.982,-1.35E-08,-1.35E-05,82.43495333,,,,,
-4.981,-1.50E-08,-1.50E-05,82.38513833,,,,,
-4.98,-1.66E-08,-1.66E-05,82.33533333,,,,,
-4.979,-1.83E-08,-1.83E-05,82.28553833,,,,,
-4.978,-2.01E-08,-2.01E-05,82.23575333,,,,,
-4.977,-2.19E-08,-2.19E-05,82.18597833,,,,,
-4.976,-2.39E-08,-2.39E-05,82.13621333,,,,,
-4.975,-2.59E-08,-2.59E-05,82.08645833,,,,,
-4.974,-2.80E-08,-2.80E-05,82.03671333,,,,,
-4.973,-3.02E-08,-3.02E-05,81.98697833,,,,,
-4.972,-3.25E-08,-3.25E-05,81.93725333,,,,,
-4.971,-3.48E-08,-3.48E-05,81.88753833,,,,,
-4.97,-3.73E-08,-3.73E-05,81.83783333,,,,,
-4.969,-3.98E-08,-3.98E-05,81.78813833,,,,,
-4.968,-4.24E-08,-4.24E-05,81.73845333,,,,,
-4.967,-4.51E-08,-4.51E-05,81.68877833,,,,,
-4.966,-4.78E-08,-4.78E-05,81.63911333,,,,,
-4.965,-5.07E-08,-5.07E-05,81.58945833,,,,,
-4.964,-5.36E-08,-5.36E-05,81.53981333,,,,,
-4.963,-5.66E-08,-5.66E-05,81.49017833,,,,,
-4.962,-5.97E-08,-5.97E-05,81.44055333,,,,,
-4.961,-6.29E-08,-6.29E-05,81.39093833,,,,,
-4.96,-6.61E-08,-6.61E-05,81.34133333,,,,,
-4.959,-6.95E-08,-6.95E-05,81.29173833,,,,,
-4.958,-7.29E-08,-7.29E-05,81.24215333,,,,,
-4.957,-7.64E-08,-7.64E-05,81.19257833,,,,,
-4.956,-8.00E-08,-8.00E-05,81.14301333,,,,,
-4.955,-8.36E-08,-8.36E-05,81.09345833,,,,,
-4.954,-8.74E-08,-8.74E-05,81.04391333,,,,,
-4.953,-9.12E-08,-9.12E-05,80.99437833,,,,,
-4.952,-9.51E-08,-9.51E-05,80.94485333,,,,,
-4.951,-9.91E-08,-9.91E-05,80.89533833,,,,,
-4.95,-1.03E-07,-0.000103128,80.84583333,,,,,
-4.949,-1.07E-07,-0.000107272,80.79633833,,,,,
-4.948,-1.11E-07,-0.000111498,80.74685333,,,,,
-4.947,-1.16E-07,-0.000115804,80.69737833,,,,,
-4.946,-1.20E-07,-0.000120191,80.64791333,,,,,
-4.945,-1.25E-07,-0.000124659,80.59845833,,,,,
-4.944,-1.29E-07,-0.000129207,80.54901333,,,,,
-4.943,-1.34E-07,-0.000133836,80.49957833,,,,,
-4.942,-1.39E-07,-0.000138545,80.45015333,,,,,
-4.941,-1.43E-07,-0.000143335,80.40073833,,,,,
-4.94,-1.48E-07,-0.000148205,80.35133333,,,,,
-4.939,-1.53E-07,-0.000153156,80.30193833,,,,,
-4.938,-1.58E-07,-0.000158187,80.25255333,,,,,
-4.937,-1.63E-07,-0.000163298,80.20317833,,,,,
-4.936,-1.68E-07,-0.000168489,80.15381333,,,,,
-4.935,-1.74E-07,-0.000173761,80.10445833,,,,,
-4.934,-1.79E-07,-0.000179112,80.05511333,,,,,
-4.933,-1.85E-07,-0.000184544,80.00577833,,,,,
-4.932,-1.90E-07,-0.000190055,79.95645333,,,,,
-4.931,-1.96E-07,-0.000195647,79.90713833,,,,,
-4.93,-2.01E-07,-0.000201318,79.85783333,,,,,
-4.929,-2.07E-07,-0.00020707,79.80853833,,,,,
-4.928,-2.13E-07,-0.000212901,79.75925333,,,,,
-4.927,-2.19E-07,-0.000218812,79.70997833,,,,,
-4.926,-2.25E-07,-0.000224802,79.66071333,,,,,
-4.925,-2.31E-07,-0.000230873,79.61145833,,,,,
-4.924,-2.37E-07,-0.000237022,79.56221333,,,,,
-4.923,-2.43E-07,-0.000243252,79.51297833,,,,,
-4.922,-2.50E-07,-0.000249561,79.46375333,,,,,
-4.921,-2.56E-07,-0.000255949,79.41453833,,,,,
-4.92,-2.62E-07,-0.000262417,79.36533333,,,,,
-4.919,-2.69E-07,-0.000268964,79.31613833,,,,,
-4.918,-2.76E-07,-0.000275591,79.26695333,,,,,
-4.917,-2.82E-07,-0.000282297,79.21777833,,,,,
-4.916,-2.89E-07,-0.000289082,79.16861333,,,,,
-4.915,-2.96E-07,-0.000295946,79.11945833,,,,,
-4.914,-3.03E-07,-0.000302889,79.07031333,,,,,
-4.913,-3.10E-07,-0.000309911,79.02117833,,,,,
-4.912,-3.17E-07,-0.000317013,78.97205333,,,,,
-4.911,-3.24E-07,-0.000324193,78.92293833,,,,,
-4.91,-3.31E-07,-0.000331452,78.87383333,,,,,
